district,date,month,year,visitors,visitor_type
Ranga Reddy,2016-07-01,July,2016,0,Domestic
Ranga Reddy,2016-08-01,August,2016,0,Domestic
Ranga Reddy,2016-09-01,September,2016,0,Domestic
Ranga Reddy,2016-10-01,October,2016,0,Domestic
Ranga Reddy,2016-11-01,November,2016,0,Domestic
Ranga Reddy,2016-12-01,December,2016,0,Domestic
Sangareddy,2016-01-01,January,2016,0,Domestic
Sangareddy,2016-02-01,February,2016,0,Domestic
Sangareddy,2016-03-01,March,2016,0,Domestic
Sangareddy,2016-04-01,April,2016,0,Domestic
Sangareddy,2016-05-01,May,2016,0,Domestic
Sangareddy,2016-06-01,June,2016,0,Domestic
Sangareddy,2016-07-01,July,2016,0,Domestic
Sangareddy,2016-08-01,August,2016,0,Domestic
Sangareddy,2016-09-01,September,2016,0,Domestic
Sangareddy,2016-10-01,October,2016,274000,Domestic
Sangareddy,2016-11-01,November,2016,349000,Domestic
Sangareddy,2016-12-01,December,2016,155000,Domestic
Siddipet,2016-01-01,January,2016,0,Domestic
Siddipet,2016-02-01,February,2016,0,Domestic
Siddipet,2016-03-01,March,2016,0,Domestic
Siddipet,2016-04-01,April,2016,0,Domestic
Siddipet,2016-05-01,May,2016,0,Domestic
Siddipet,2016-06-01,June,2016,0,Domestic
Siddipet,2016-07-01,July,2016,0,Domestic
Siddipet,2016-08-01,August,2016,0,Domestic
Siddipet,2016-09-01,September,2016,0,Domestic
Siddipet,2016-10-01,October,2016,123500,Domestic
Siddipet,2016-11-01,November,2016,154400,Domestic
Siddipet,2016-12-01,December,2016,80500,Domestic
Suryapet,2016-01-01,January,2016,0,Domestic
Suryapet,2016-02-01,February,2016,0,Domestic
Suryapet,2016-03-01,March,2016,0,Domestic
Suryapet,2016-04-01,April,2016,0,Domestic
Suryapet,2016-05-01,May,2016,0,Domestic
Suryapet,2016-06-01,June,2016,0,Domestic
Suryapet,2016-07-01,July,2016,0,Domestic
Suryapet,2016-08-01,August,2016,0,Domestic
Suryapet,2016-09-01,September,2016,0,Domestic
Suryapet,2016-10-01,October,2016,0,Domestic
Suryapet,2016-11-01,November,2016,0,Domestic
Suryapet,2016-12-01,December,2016,0,Domestic
Vikarabad,2016-01-01,January,2016,0,Domestic
Vikarabad,2016-02-01,February,2016,0,Domestic
Vikarabad,2016-03-01,March,2016,0,Domestic
Vikarabad,2016-04-01,April,2016,0,Domestic
Vikarabad,2016-05-01,May,2016,0,Domestic
Vikarabad,2016-06-01,June,2016,0,Domestic
Vikarabad,2016-07-01,July,2016,0,Domestic
Vikarabad,2016-08-01,August,2016,0,Domestic
Vikarabad,2016-09-01,September,2016,0,Domestic
Vikarabad,2016-10-01,October,2016,0,Domestic
Vikarabad,2016-11-01,November,2016,0,Domestic
Vikarabad,2016-12-01,December,2016,0,Domestic
Wanaparthy,2016-01-01,January,2016,0,Domestic
Wanaparthy,2016-02-01,February,2016,0,Domestic
Wanaparthy,2016-03-01,March,2016,0,Domestic
Wanaparthy,2016-04-01,April,2016,0,Domestic
Wanaparthy,2016-05-01,May,2016,0,Domestic
Wanaparthy,2016-06-01,June,2016,0,Domestic
Wanaparthy,2016-07-01,July,2016,0,Domestic
Wanaparthy,2016-08-01,August,2016,0,Domestic
Wanaparthy,2016-09-01,September,2016,0,Domestic
Wanaparthy,2016-10-01,October,2016,21234,Domestic
Wanaparthy,2016-11-01,November,2016,18348,Domestic
Wanaparthy,2016-12-01,December,2016,20556,Domestic
Warangal,2016-01-01,January,2016,0,Domestic
Warangal,2016-02-01,February,2016,0,Domestic
Warangal,2016-03-01,March,2016,0,Domestic
Warangal,2016-04-01,April,2016,0,Domestic
Warangal,2016-05-01,May,2016,0,Domestic
Warangal,2016-06-01,June,2016,0,Domestic
Warangal,2016-07-01,July,2016,0,Domestic
Warangal,2016-08-01,August,2016,0,Domestic
Warangal,2016-09-01,September,2016,0,Domestic
Warangal,2016-10-01,October,2016,8200,Domestic
Warangal,2016-11-01,November,2016,6050,Domestic
Warangal,2016-12-01,December,2016,5150,Domestic
Hanamkonda,2016-01-01,January,2016,1985815,Domestic
Hanamkonda,2016-02-01,February,2016,20703778,Domestic
Hanamkonda,2016-03-01,March,2016,568397,Domestic
Hanamkonda,2016-04-01,April,2016,317643,Domestic
Hanamkonda,2016-05-01,May,2016,373788,Domestic
Hanamkonda,2016-06-01,June,2016,365332,Domestic
Hanamkonda,2016-07-01,July,2016,340320,Domestic
Hanamkonda,2016-08-01,August,2016,368755,Domestic
Hanamkonda,2016-09-01,September,2016,379210,Domestic
Hanamkonda,2016-10-01,October,2016,128247,Domestic
Hanamkonda,2016-11-01,November,2016,129250,Domestic
Hanamkonda,2016-12-01,December,2016,127500,Domestic
